surface_label_name,hemisphere,parcel_id,official_code,g3_entity_id,g3_name,alignment_method,alignment_status,note
A31_L,left,153,PCun_L_4_4,NGIQ-BR-00000161,"Left Precuneus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A31_R,right,154,PCun_R_4_4,NGIQ-BR-00000162,"Right Precuneus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3ulhf_L,left,155,PoG_L_4_1,NGIQ-BR-00000163,"Left Postcentral gyrus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3ulhf_R,right,156,PoG_R_4_1,NGIQ-BR-00000164,"Right Postcentral gyrus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3tonIa_L,left,157,PoG_L_4_2,NGIQ-BR-00000165,"Left Postcentral gyrus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3tonIa_R,right,158,PoG_R_4_2,NGIQ-BR-00000166,"Right Postcentral gyrus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A2_L,left,159,PoG_L_4_3,NGIQ-BR-00000167,"Left Postcentral gyrus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A2_R,right,160,PoG_R_4_3,NGIQ-BR-00000168,"Right Postcentral gyrus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3tru_L,left,161,PoG_L_4_4,NGIQ-BR-00000169,"Left Postcentral gyrus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3tru_R,right,162,PoG_R_4_4,NGIQ-BR-00000170,"Right Postcentral gyrus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
G_L,left,163,INS_L_6_1,NGIQ-BR-00000013,"Left Insular gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
G_R,right,164,INS_R_6_1,NGIQ-BR-00000014,"Right Insular gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vIa_L,left,165,INS_L_6_2,NGIQ-BR-00000171,"Left Insular gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vIa_R,right,166,INS_R_6_2,NGIQ-BR-00000172,"Right Insular gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dIa_L,left,167,INS_L_6_3,NGIQ-BR-00000173,"Left Insular gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dIa_R,right,168,INS_R_6_3,NGIQ-BR-00000174,"Right Insular gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vId/vIg_L,left,169,INS_L_6_4,NGIQ-BR-00000175,"Left Insular gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vId/vIg_R,right,170,INS_R_6_4,NGIQ-BR-00000176,"Right Insular gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dIg_L,left,171,INS_L_6_5,NGIQ-BR-00000177,"Left Insular gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dIg_R,right,172,INS_R_6_5,NGIQ-BR-00000178,"Right Insular gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dId_L,left,173,INS_L_6_6,NGIQ-BR-00000179,"Left Insular gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dId_R,right,174,INS_R_6_6,NGIQ-BR-00000180,"Right Insular gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23d_L,left,175,CG_L_7_1,NGIQ-BR-00000181,"Left Cingulate gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23d_R,right,176,CG_R_7_1,NGIQ-BR-00000182,"Right Cingulate gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A24rv_L,left,177,CG_L_7_2,NGIQ-BR-00000183,"Left Cingulate gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A24rv_R,right,178,CG_R_7_2,NGIQ-BR-00000184,"Right Cingulate gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A32p_L,left,179,CG_L_7_3,NGIQ-BR-00000185,"Left Cingulate gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A32p_R,right,180,CG_R_7_3,NGIQ-BR-00000186,"Right Cingulate gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23v_L,left,181,CG_L_7_4,NGIQ-BR-00000187,"Left Cingulate gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23v_R,right,182,CG_R_7_4,NGIQ-BR-00000188,"Right Cingulate gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A24cd_L,left,183,CG_L_7_5,NGIQ-BR-00000189,"Left Cingulate gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A24cd_R,right,184,CG_R_7_5,NGIQ-BR-00000190,"Right Cingulate gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23c_L,left,185,CG_L_7_6,NGIQ-BR-00000191,"Left Cingulate gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A23c_R,right,186,CG_R_7_6,NGIQ-BR-00000192,"Right Cingulate gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A32sg_L,left,187,CG_L_7_7,NGIQ-BR-00000193,"Left Cingulate gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A32sg_R,right,188,CG_R_7_7,NGIQ-BR-00000194,"Right Cingulate gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cLinG_L,left,189,MVOcC_L_5_1,NGIQ-BR-00000015,"Left Medioventral occipital cortex, Brainnetome 5_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cLinG_R,right,190,MVOcC_R_5_1,NGIQ-BR-00000016,"Right Medioventral occipital cortex, Brainnetome 5_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rCunG_L,left,191,MVOcC_L_5_2,NGIQ-BR-00000195,"Left Medioventral occipital cortex, Brainnetome 5_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rCunG_R,right,192,MVOcC_R_5_2,NGIQ-BR-00000196,"Right Medioventral occipital cortex, Brainnetome 5_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cCunG_L,left,193,MVOcC_L_5_3,NGIQ-BR-00000197,"Left Medioventral occipital cortex, Brainnetome 5_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cCunG_R,right,194,MVOcC_R_5_3,NGIQ-BR-00000198,"Right Medioventral occipital cortex, Brainnetome 5_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rLinG_L,left,195,MVOcC_L_5_4,NGIQ-BR-00000199,"Left Medioventral occipital cortex, Brainnetome 5_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rLinG_R,right,196,MVOcC_R_5_4,NGIQ-BR-00000200,"Right Medioventral occipital cortex, Brainnetome 5_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vmPOS_L,left,197,MVOcC_L_5_5,NGIQ-BR-00000201,"Left Medioventral occipital cortex, Brainnetome 5_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
vmPOS_R,right,198,MVOcC_R_5_5,NGIQ-BR-00000202,"Right Medioventral occipital cortex, Brainnetome 5_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
mOccG_L,left,199,LOcC_L_4_1,NGIQ-BR-00000203,"Left Lateral occipital cortex, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
mOccG_R,right,200,LOcC_R_4_1,NGIQ-BR-00000204,"Right Lateral occipital cortex, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
V5/MT+_L,left,201,LOcC_L_4_2,NGIQ-BR-00000205,"Left Lateral occipital cortex, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
V5/MT+_R,right,202,LOcC_R_4_2,NGIQ-BR-00000206,"Right Lateral occipital cortex, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
OPC_L,left,203,LOcC_L_4_3,NGIQ-BR-00000207,"Left Lateral occipital cortex, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
OPC_R,right,204,LOcC_R_4_3,NGIQ-BR-00000208,"Right Lateral occipital cortex, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
iOccG_L,left,205,LOcC_L_4_4,NGIQ-BR-00000209,"Left Lateral occipital cortex, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
iOccG_R,right,206,LOcC_R_4_4,NGIQ-BR-00000210,"Right Lateral occipital cortex, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
msOccG_L,left,207,LOcC_L_2_1,NGIQ-BR-00000211,"Left Superior lateral occipital cortex, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
msOccG_R,right,208,LOcC_R_2_1,NGIQ-BR-00000212,"Right Superior lateral occipital cortex, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
lsOccG_L,left,209,LOcC_L_2_2,NGIQ-BR-00000213,"Left Superior lateral occipital cortex, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
lsOccG_R,right,210,LOcC_R_2_2,NGIQ-BR-00000214,"Right Superior lateral occipital cortex, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
